Model,Description,Accuracy,Precision,Recall,F1_Score,Training_Time(s),Prediction_Time(s),AUC_ROC,AUPRC,CV_F1_Mean,CV_F1_Std,TN,FP,FN,TP,Specificity
SVM,Support Vector Machine,0.9517684887459807,0.9583333333333334,0.9387755102040817,0.9484536082474226,0.06314659118652344,0.0048677921295166016,0.9936120789779327,0.993519582010951,0.9373680370019155,0.007377496515118818,158,6,9,138,0.9634146341463414
LR,Logistic Regression,0.9260450160771704,0.8974358974358975,0.9523809523809523,0.9240924092409241,0.004691123962402344,0.00016617774963378906,0.9592666334826614,0.9371809452080975,0.8979872839464811,0.015742385609604555,148,16,7,140,0.9024390243902439
KNN,K-Nearest Neighbors,0.9581993569131833,0.9527027027027027,0.9591836734693877,0.9559322033898305,0.0022716522216796875,0.004462003707885742,0.9821635971461755,0.969480856112612,0.9256877363646199,0.007315573057280595,157,7,6,141,0.9573170731707317
RF,Random Forest,0.9646302250803859,0.9857142857142858,0.9387755102040817,0.9616724738675958,0.14627313613891602,0.004730939865112305,0.9941720590675295,0.9940109041646016,0.9441491258087348,0.014272207603733874,162,2,9,138,0.9878048780487805
PLS-DA,Partial Least Squares Discriminant Analysis,0.9131832797427653,0.879746835443038,0.9455782312925171,0.9114754098360656,0.001565694808959961,0.00010538101196289062,0.9484818317570931,0.9149358591208585,0.8829212206614019,0.012136393496552883,145,19,8,139,0.8841463414634146
DFNN,Deep Feedforward Neural Network,0.954983922829582,0.9586206896551724,0.9455782312925171,0.952054794520548,0.15213894844055176,0.00017762184143066406,0.9935705989712958,0.9933512191879422,0.9048059848358664,0.026128362500342176,158,6,8,139,0.9634146341463414
