Rank,SMILES,Prediction,Predicted_Class,Probability_Active,Probability_Inactive
46,CC1=C(CCOP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@@H](O)[C@H]2O)N2C=NC3=C2N=CN=C3N)SC=[N+]1CC1=CN=C(C)N=C1N,1,Active,0.813084448719929,0.18691555128007098
47,NC(CC1=CC=C(OC2=CC(CC(N)C(O)=O)=CC(=C2O)C2=C(O)C(OC3=CC=C(CC(N)C(O)=O)C=C3)=CC(CC(N)C(O)=O)=C2)C=C1)C(O)=O,1,Active,0.81,0.18999999999999995
48,OC1OC2=CC(O)=CC(O)=C2C(=O)C1C1=CC=C(O)C=C1,1,Active,0.81,0.18999999999999995
49,OC1=CC=C(C=C1)C1(O)CC(=O)C2=C(O)C=C(O)C=C2O1,1,Active,0.81,0.18999999999999995
50,OC1C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC=C(O)C=C1,1,Active,0.81,0.18999999999999995
51,CC(O)C1=C2NC(\C=C3/N\C(=C/C4=N/C(=C\C5=N\C(=C/2)\C(C)=C5C(C)O)/C(C)=C4CCC(O)=O)C(CCC(O)=O)=C3C)=C1C,1,Active,0.81,0.18999999999999995
52,O[C@@H]1[C@H](OC2=CC(O)=CC(O)=C2C1=O)C1=CC=C(O)C=C1,1,Active,0.81,0.18999999999999995
53,OC1=CC=C(C=CC(=O)NCCCCN(CCCNC(=O)C=CC2=CC=C(O)C(O)=C2)C(=O)C=CC2=CC=C(O)C(O)=C2)C=C1O,1,Active,0.81,0.18999999999999995
54,NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)OCC2OC(C(O)C2O)N2C=NC3=C2N=CN=C3N)C(O)C1O,1,Active,0.8045410379271377,0.19545896207286229
55,OC(=O)C(CC1=CC(O)=C(O)C=C1)OC(=O)C1C(C(C1C1=CC=C(O)C(O)=C1)C1=CC(O)=C(O)C=C1)C(=O)OC(CC1=CC=C(O)C(O)=C1)C(O)=O,1,Active,0.801438842447618,0.19856115755238202
56,[Cl-].[Fe+3].CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C([N-]4)/C=C4\N=C(\C=C\1/[N-]\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O,1,Active,0.8,0.19999999999999996
57,O.[Fe++].CC1=C(C=C)C2=CC3=NC(=CC4=C(C)C(CCC(O)=O)=C([N-]4)C=C4N=C(C=C1[N-]2)C(C)=C4CCC(O)=O)C(C=C)=C3C,1,Active,0.8,0.19999999999999996
58,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,1,Active,0.8,0.19999999999999996
59,COC1=CC(\C=C\C(=O)NCCC2=CNC3=C2C=C(OC2OC(CO)C(O)C(O)C2O)C=C3)=CC=C1O,1,Active,0.8,0.19999999999999996
60,CNC1=C2N=CN(C3OC(COP([O-])(=O)OP([O-])(=O)OP([O-])(=O)OCC4OC(C(O)C4O)N4C=[N+](C)C5=C4N=C(N)NC5=O)C(O)C3OC)C2=NC=N1,1,Active,0.7976321385063899,0.20236786149361008
61,COC1=CC(\C=C\C(=O)NCCC2=CC=C(O)C=C2)=CC2=C1OC(C2C(=O)NCCC1=CC=C(O)C=C1)C1=CC(OC)=C(O)C=C1,1,Active,0.795277554304103,0.20472244569589704
62,COC1=C(O)C=CC(=C1)C1=[O+]C2=C(C=C1O[C@@H]1O[C@H](COC(=O)\C=C\C3=CC=C(O)C=C3)[C@@H](O)[C@H](O)[C@H]1O)C(O[C@@H]1OC(CO)[C@@H](O)[C@H](O)C1C)=CC(O)=C2,1,Active,0.79482455214872,0.20517544785127995
63,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C(C=C1O[C@@H]1O[C@H](COC(=O)\C=C\C3=CC=C(O)C=C3)[C@@H](O)[C@H](O)[C@H]1O)C(O)=CC(O)=C2,1,Active,0.7942694435405141,0.2057305564594859
64,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C(C=C1OC1OC(COC(=O)\C=C\C3=CC=C(O)C=C3)C(O)C(O)C1O)C(O)=CC(O)=C2,1,Active,0.7942694435405141,0.2057305564594859
65,[H]\C(=C(\[H])C1=CC(OC)=C(O)C=C1)C(=O)OCC1(O)CO[C@@]([H])(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@@]1([H])O,1,Active,0.7942694435405141,0.2057305564594859
66,COC1=C(O)C2=C(C=C1)C(=O)C1=C(C=CC(C)=C1O)C2=O,1,Active,0.79,0.20999999999999996
67,COC1=CC(\C=C\C(=O)OC2=CC3=C(OC4OC(CO)C(O)C(O)C4O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)=CC=C1O,1,Active,0.79,0.20999999999999996
68,COC1=CC2=C(C(O)=C1)C(=O)C1=C(C=C(C)C=C1O)C2=O,1,Active,0.79,0.20999999999999996
